journal	category
REVISTA BRASILEIRA DE ENGENHARIA AGRICOLA E AMBIENTAL	AGRICULTURAL ENGINEERING
TRANSACTIONS OF THE ASABE	AGRICULTURAL ENGINEERING
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE	AGRICULTURE, DAIRY & ANIMAL SCIENCE
ANIMAL	AGRICULTURE, DAIRY & ANIMAL SCIENCE
ANIMAL BIOTECHNOLOGY	AGRICULTURE, DAIRY & ANIMAL SCIENCE
ANIMAL FEED SCIENCE AND TECHNOLOGY	AGRICULTURE, DAIRY & ANIMAL SCIENCE
ANIMAL GENETICS	AGRICULTURE, DAIRY & ANIMAL SCIENCE
ANIMAL NUTRITION AND FEED TECHNOLOGY	AGRICULTURE, DAIRY & ANIMAL SCIENCE
ANIMAL REPRODUCTION	AGRICULTURE, DAIRY & ANIMAL SCIENCE
ANIMAL REPRODUCTION SCIENCE	AGRICULTURE, DAIRY & ANIMAL SCIENCE
ANIMAL SCIENCE JOURNAL	AGRICULTURE, DAIRY & ANIMAL SCIENCE
ANIMAL SCIENCE PAPERS AND REPORTS	AGRICULTURE, DAIRY & ANIMAL SCIENCE
ANIMALS	AGRICULTURE, DAIRY & ANIMAL SCIENCE
ANNALS OF ANIMAL SCIENCE	AGRICULTURE, DAIRY & ANIMAL SCIENCE
ANNUAL REVIEW OF ANIMAL BIOSCIENCES	AGRICULTURE, DAIRY & ANIMAL SCIENCE
APPLIED ANIMAL BEHAVIOUR SCIENCE	AGRICULTURE, DAIRY & ANIMAL SCIENCE
ARCHIVES ANIMAL BREEDING	AGRICULTURE, DAIRY & ANIMAL SCIENCE
ARCHIVES OF ANIMAL NUTRITION	AGRICULTURE, DAIRY & ANIMAL SCIENCE
ASIAN-AUSTRALASIAN JOURNAL OF ANIMAL SCIENCES	AGRICULTURE, DAIRY & ANIMAL SCIENCE
AVIAN BIOLOGY RESEARCH	AGRICULTURE, DAIRY & ANIMAL SCIENCE
BRAZILIAN JOURNAL OF POULTRY SCIENCE	AGRICULTURE, DAIRY & ANIMAL SCIENCE
BRITISH POULTRY SCIENCE	AGRICULTURE, DAIRY & ANIMAL SCIENCE
BUFFALO BULLETIN	AGRICULTURE, DAIRY & ANIMAL SCIENCE
CANADIAN JOURNAL OF ANIMAL SCIENCE	AGRICULTURE, DAIRY & ANIMAL SCIENCE
CZECH JOURNAL OF ANIMAL SCIENCE	AGRICULTURE, DAIRY & ANIMAL SCIENCE
DOMESTIC ANIMAL ENDOCRINOLOGY	AGRICULTURE, DAIRY & ANIMAL SCIENCE
EUROPEAN POULTRY SCIENCE	AGRICULTURE, DAIRY & ANIMAL SCIENCE
FOURRAGES	AGRICULTURE, DAIRY & ANIMAL SCIENCE
GENETICS SELECTION EVOLUTION	AGRICULTURE, DAIRY & ANIMAL SCIENCE
INDIAN JOURNAL OF ANIMAL RESEARCH	AGRICULTURE, DAIRY & ANIMAL SCIENCE
INDIAN JOURNAL OF ANIMAL SCIENCES	AGRICULTURE, DAIRY & ANIMAL SCIENCE
INRA PRODUCTIONS ANIMALES	AGRICULTURE, DAIRY & ANIMAL SCIENCE
ITALIAN JOURNAL OF ANIMAL SCIENCE	AGRICULTURE, DAIRY & ANIMAL SCIENCE
ITEA-INFORMACION TECNICA ECONOMICA AGRARIA	AGRICULTURE, DAIRY & ANIMAL SCIENCE
JOURNAL OF ANIMAL AND FEED SCIENCES	AGRICULTURE, DAIRY & ANIMAL SCIENCE
JOURNAL OF ANIMAL BREEDING AND GENETICS	AGRICULTURE, DAIRY & ANIMAL SCIENCE
JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION	AGRICULTURE, DAIRY & ANIMAL SCIENCE
JOURNAL OF ANIMAL SCIENCE	AGRICULTURE, DAIRY & ANIMAL SCIENCE
JOURNAL OF ANIMAL SCIENCE AND BIOTECHNOLOGY	AGRICULTURE, DAIRY & ANIMAL SCIENCE
JOURNAL OF APPLIED ANIMAL RESEARCH	AGRICULTURE, DAIRY & ANIMAL SCIENCE
JOURNAL OF APPLIED POULTRY RESEARCH	AGRICULTURE, DAIRY & ANIMAL SCIENCE
JOURNAL OF DAIRY RESEARCH	AGRICULTURE, DAIRY & ANIMAL SCIENCE
JOURNAL OF DAIRY SCIENCE	AGRICULTURE, DAIRY & ANIMAL SCIENCE
JOURNAL OF POULTRY SCIENCE	AGRICULTURE, DAIRY & ANIMAL SCIENCE
JOURNAL OF REPRODUCTION AND DEVELOPMENT	AGRICULTURE, DAIRY & ANIMAL SCIENCE
LARGE ANIMAL REVIEW	AGRICULTURE, DAIRY & ANIMAL SCIENCE
LIVESTOCK SCIENCE	AGRICULTURE, DAIRY & ANIMAL SCIENCE
MLJEKARSTVO	AGRICULTURE, DAIRY & ANIMAL SCIENCE
POULTRY SCIENCE	AGRICULTURE, DAIRY & ANIMAL SCIENCE
REPRODUCTION IN DOMESTIC ANIMALS	AGRICULTURE, DAIRY & ANIMAL SCIENCE
REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE	AGRICULTURE, DAIRY & ANIMAL SCIENCE
REVISTA COLOMBIANA DE CIENCIAS PECUARIAS	AGRICULTURE, DAIRY & ANIMAL SCIENCE
REVISTA MEXICANA DE CIENCIAS PECUARIAS	AGRICULTURE, DAIRY & ANIMAL SCIENCE
REVISTA MVZ CORDOBA	AGRICULTURE, DAIRY & ANIMAL SCIENCE
SMALL RUMINANT RESEARCH	AGRICULTURE, DAIRY & ANIMAL SCIENCE
SOUTH AFRICAN JOURNAL OF ANIMAL SCIENCE	AGRICULTURE, DAIRY & ANIMAL SCIENCE
TROPICAL ANIMAL HEALTH AND PRODUCTION	AGRICULTURE, DAIRY & ANIMAL SCIENCE
TROPICAL GRASSLANDS-FORRAJES TROPICALES	AGRICULTURE, DAIRY & ANIMAL SCIENCE
WORLD RABBIT SCIENCE	AGRICULTURE, DAIRY & ANIMAL SCIENCE
WORLDS POULTRY SCIENCE JOURNAL	AGRICULTURE, DAIRY & ANIMAL SCIENCE
ZUCHTUNGSKUNDE	AGRICULTURE, DAIRY & ANIMAL SCIENCE
AGRARFORSCHUNG SCHWEIZ	AGRICULTURE, MULTIDISCIPLINARY
AGRICULTURAL AND FOOD SCIENCE	AGRICULTURE, MULTIDISCIPLINARY
AGRICULTURAL HISTORY	AGRICULTURE, MULTIDISCIPLINARY
AGRICULTURAL SYSTEMS	AGRICULTURE, MULTIDISCIPLINARY
AGRICULTURE AND HUMAN VALUES	AGRICULTURE, MULTIDISCIPLINARY
AGRICULTURE ECOSYSTEMS & ENVIRONMENT	AGRICULTURE, MULTIDISCIPLINARY
AGROCIENCIA	AGRICULTURE, MULTIDISCIPLINARY
AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS	AGRICULTURE, MULTIDISCIPLINARY
ANIMAL PRODUCTION SCIENCE	AGRICULTURE, MULTIDISCIPLINARY
ANNALS OF APPLIED BIOLOGY	AGRICULTURE, MULTIDISCIPLINARY
BERICHTE UBER LANDWIRTSCHAFT	AGRICULTURE, MULTIDISCIPLINARY
BIOSCIENCE JOURNAL	AGRICULTURE, MULTIDISCIPLINARY
BIOSYSTEMS ENGINEERING	AGRICULTURE, MULTIDISCIPLINARY
BRAGANTIA	AGRICULTURE, MULTIDISCIPLINARY
CAHIERS AGRICULTURES	AGRICULTURE, MULTIDISCIPLINARY
CALIFORNIA AGRICULTURE	AGRICULTURE, MULTIDISCIPLINARY
CHILEAN JOURNAL OF AGRICULTURAL RESEARCH	AGRICULTURE, MULTIDISCIPLINARY
CIENCIA E AGROTECNOLOGIA	AGRICULTURE, MULTIDISCIPLINARY
CIENCIA E INVESTIGACION AGRARIA	AGRICULTURE, MULTIDISCIPLINARY
COMPUTERS AND ELECTRONICS IN AGRICULTURE	AGRICULTURE, MULTIDISCIPLINARY
CROP & PASTURE SCIENCE	AGRICULTURE, MULTIDISCIPLINARY
CUADERNOS DE DESARROLLO RURAL	AGRICULTURE, MULTIDISCIPLINARY
GRASSLAND SCIENCE	AGRICULTURE, MULTIDISCIPLINARY
ICELANDIC AGRICULTURAL SCIENCES	AGRICULTURE, MULTIDISCIPLINARY
INDIAN JOURNAL OF AGRICULTURAL SCIENCES	AGRICULTURE, MULTIDISCIPLINARY
INTERNATIONAL JOURNAL OF AGRICULTURAL SUSTAINABILITY	AGRICULTURE, MULTIDISCIPLINARY
INTERNATIONAL JOURNAL OF AGRICULTURE AND BIOLOGY	AGRICULTURE, MULTIDISCIPLINARY
IRISH JOURNAL OF AGRICULTURAL AND FOOD RESEARCH	AGRICULTURE, MULTIDISCIPLINARY
JARQ-JAPAN AGRICULTURAL RESEARCH QUARTERLY	AGRICULTURE, MULTIDISCIPLINARY
JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS	AGRICULTURE, MULTIDISCIPLINARY
JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY	AGRICULTURE, MULTIDISCIPLINARY
JOURNAL OF AGRICULTURAL METEOROLOGY	AGRICULTURE, MULTIDISCIPLINARY
JOURNAL OF AGRICULTURAL SCIENCE	AGRICULTURE, MULTIDISCIPLINARY
JOURNAL OF AGRICULTURAL SCIENCE AND TECHNOLOGY	AGRICULTURE, MULTIDISCIPLINARY
JOURNAL OF ANIMAL AND PLANT SCIENCES	AGRICULTURE, MULTIDISCIPLINARY
JOURNAL OF INTEGRATIVE AGRICULTURE	AGRICULTURE, MULTIDISCIPLINARY
JOURNAL OF PLANT DISEASES AND PROTECTION	AGRICULTURE, MULTIDISCIPLINARY
JOURNAL OF THE FACULTY OF AGRICULTURE KYUSHU UNIVERSITY	AGRICULTURE, MULTIDISCIPLINARY
JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE	AGRICULTURE, MULTIDISCIPLINARY
LANDBAUFORSCHUNG	AGRICULTURE, MULTIDISCIPLINARY
NEW MEDIT	AGRICULTURE, MULTIDISCIPLINARY
NEW ZEALAND JOURNAL OF AGRICULTURAL RESEARCH	AGRICULTURE, MULTIDISCIPLINARY
NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES	AGRICULTURE, MULTIDISCIPLINARY
OUTLOOK ON AGRICULTURE	AGRICULTURE, MULTIDISCIPLINARY
PAKISTAN JOURNAL OF AGRICULTURAL SCIENCES	AGRICULTURE, MULTIDISCIPLINARY
PESQUISA AGROPECUARIA BRASILEIRA	AGRICULTURE, MULTIDISCIPLINARY
PHILIPPINE AGRICULTURAL SCIENTIST	AGRICULTURE, MULTIDISCIPLINARY
PLANT PATHOLOGY JOURNAL	AGRICULTURE, MULTIDISCIPLINARY
PRECISION AGRICULTURE	AGRICULTURE, MULTIDISCIPLINARY
RENEWABLE AGRICULTURE AND FOOD SYSTEMS	AGRICULTURE, MULTIDISCIPLINARY
REVISTA CIENCIA AGRONOMICA	AGRICULTURE, MULTIDISCIPLINARY
REVISTA DE LA FACULTAD DE CIENCIAS AGRARIAS	AGRICULTURE, MULTIDISCIPLINARY
SCIENTIA AGRICOLA	AGRICULTURE, MULTIDISCIPLINARY
SEMINA-CIENCIAS AGRARIAS	AGRICULTURE, MULTIDISCIPLINARY
SPANISH JOURNAL OF AGRICULTURAL RESEARCH	AGRICULTURE, MULTIDISCIPLINARY
TARIM BILIMLERI DERGISI-JOURNAL OF AGRICULTURAL SCIENCES	AGRICULTURE, MULTIDISCIPLINARY
ZEMDIRBYSTE-AGRICULTURE	AGRICULTURE, MULTIDISCIPLINARY
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE	AGRONOMY
ACTA SCIENTIARUM-AGRONOMY	AGRONOMY
ADVANCES IN AGRONOMY	AGRONOMY
AGRICULTURAL AND FOREST METEOROLOGY	AGRONOMY
AGRICULTURAL WATER MANAGEMENT	AGRONOMY
AGROFORESTRY SYSTEMS	AGRONOMY
AGRONOMY FOR SUSTAINABLE DEVELOPMENT	AGRONOMY
AGRONOMY JOURNAL	AGRONOMY
AGRONOMY-BASEL	AGRONOMY
ALLELOPATHY JOURNAL	AGRONOMY
AMERICAN JOURNAL OF POTATO RESEARCH	AGRONOMY
ARCHIVES OF AGRONOMY AND SOIL SCIENCE	AGRONOMY
BIOAGRO	AGRONOMY
BIOLOGICAL AGRICULTURE & HORTICULTURE	AGRONOMY
BIOSCIENCE JOURNAL	AGRONOMY
BIOTECHNOLOGIE AGRONOMIE SOCIETE ET ENVIRONNEMENT	AGRONOMY
BREEDING SCIENCE	AGRONOMY
CAHIERS AGRICULTURES	AGRONOMY
CANADIAN JOURNAL OF PLANT SCIENCE	AGRONOMY
CEREAL RESEARCH COMMUNICATIONS	AGRONOMY
CHILEAN JOURNAL OF AGRICULTURAL RESEARCH	AGRONOMY
CIENCIA RURAL	AGRONOMY
COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS	AGRONOMY
CROP BREEDING AND APPLIED BIOTECHNOLOGY	AGRONOMY
CROP JOURNAL	AGRONOMY
CROP PROTECTION	AGRONOMY
CROP SCIENCE	AGRONOMY
CZECH JOURNAL OF GENETICS AND PLANT BREEDING	AGRONOMY
EMIRATES JOURNAL OF FOOD AND AGRICULTURE	AGRONOMY
EUPHYTICA	AGRONOMY
EUROPEAN JOURNAL OF AGRONOMY	AGRONOMY
EUROPEAN JOURNAL OF PLANT PATHOLOGY	AGRONOMY
EXPERIMENTAL AGRICULTURE	AGRONOMY
FIELD CROPS RESEARCH	AGRONOMY
GENETIC RESOURCES AND CROP EVOLUTION	AGRONOMY
GENETIKA-BELGRADE	AGRONOMY
GESUNDE PFLANZEN	AGRONOMY
GLOBAL CHANGE BIOLOGY BIOENERGY	AGRONOMY
GRASS AND FORAGE SCIENCE	AGRONOMY
GRASSLAND SCIENCE	AGRONOMY
INDUSTRIAL CROPS AND PRODUCTS	AGRONOMY
INTERNATIONAL AGROPHYSICS	AGRONOMY
INTERNATIONAL JOURNAL OF PLANT PRODUCTION	AGRONOMY
INTERNATIONAL SUGAR JOURNAL	AGRONOMY
IRRIGATION AND DRAINAGE	AGRONOMY
IRRIGATION SCIENCE	AGRONOMY
ITALIAN JOURNAL OF AGROMETEOROLOGY-RIVISTA ITALIANA DI AGROMETEOROLOGIA	AGRONOMY
ITALIAN JOURNAL OF AGRONOMY	AGRONOMY
ITEA-INFORMACION TECNICA ECONOMICA AGRARIA	AGRONOMY
JOURNAL OF AGROMETEOROLOGY	AGRONOMY
JOURNAL OF AGRONOMY AND CROP SCIENCE	AGRONOMY
JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE	AGRONOMY
JOURNAL OF PLANT REGISTRATIONS	AGRONOMY
JOURNAL OF SEED SCIENCE	AGRONOMY
JOURNAL OF THE AMERICAN POMOLOGICAL SOCIETY	AGRONOMY
JOURNAL OF THE AMERICAN SOCIETY OF AGRONOMY	AGRONOMY
LEGUME RESEARCH	AGRONOMY
MAYDICA	AGRONOMY
MOLECULAR BREEDING	AGRONOMY
MYCOBIOLOGY	AGRONOMY
NEW ZEALAND JOURNAL OF CROP AND HORTICULTURAL SCIENCE	AGRONOMY
PADDY AND WATER ENVIRONMENT	AGRONOMY
PEST MANAGEMENT SCIENCE	AGRONOMY
PHILIPPINE JOURNAL OF CROP SCIENCE	AGRONOMY
PHYTOPATHOLOGIA MEDITERRANEA	AGRONOMY
PLANT AND SOIL	AGRONOMY
PLANT BREEDING	AGRONOMY
PLANT PATHOLOGY	AGRONOMY
PLANT PRODUCTION SCIENCE	AGRONOMY
PLANT PROTECTION SCIENCE	AGRONOMY
PLANT SOIL AND ENVIRONMENT	AGRONOMY
POSTHARVEST BIOLOGY AND TECHNOLOGY	AGRONOMY
POTATO RESEARCH	AGRONOMY
RANGE MANAGEMENT AND AGROFORESTRY	AGRONOMY
REVISTA CAATINGA	AGRONOMY
REVISTA DE LA FACULTAD DE AGRONOMIA DE LA UNIVERSIDAD DEL ZULIA	AGRONOMY
REVISTA FITOTECNIA MEXICANA	AGRONOMY
RICE	AGRONOMY
RICE SCIENCE	AGRONOMY
ROMANIAN AGRICULTURAL RESEARCH	AGRONOMY
SEED SCIENCE AND TECHNOLOGY	AGRONOMY
SUGAR TECH	AGRONOMY
THEORETICAL AND APPLIED GENETICS	AGRONOMY
TROPICAL GRASSLANDS-FORRAJES TROPICALES	AGRONOMY
TURKISH JOURNAL OF AGRICULTURE AND FORESTRY	AGRONOMY
TURKISH JOURNAL OF FIELD CROPS	AGRONOMY
WEED BIOLOGY AND MANAGEMENT	AGRONOMY
WEED RESEARCH	AGRONOMY
WEED SCIENCE	AGRONOMY
WEED TECHNOLOGY	AGRONOMY
ALLERGOLOGIA ET IMMUNOPATHOLOGIA	ALLERGY
ALLERGOLOGIE	ALLERGY
ALLERGOLOGY INTERNATIONAL	ALLERGY
ALLERGY	ALLERGY
ALLERGY AND ASTHMA PROCEEDINGS	ALLERGY
ALLERGY ASTHMA & IMMUNOLOGY RESEARCH	ALLERGY
ALLERGY ASTHMA AND CLINICAL IMMUNOLOGY	ALLERGY
ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY	ALLERGY
ASIAN PACIFIC JOURNAL OF ALLERGY AND IMMUNOLOGY	ALLERGY
CLINICAL AND EXPERIMENTAL ALLERGY	ALLERGY
CLINICAL AND TRANSLATIONAL ALLERGY	ALLERGY
CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY	ALLERGY
CONTACT DERMATITIS	ALLERGY
CURRENT ALLERGY AND ASTHMA REPORTS	ALLERGY
CURRENT OPINION IN ALLERGY AND CLINICAL IMMUNOLOGY	ALLERGY
IMMUNOLOGY AND ALLERGY CLINICS OF NORTH AMERICA	ALLERGY
INTERNATIONAL ARCHIVES OF ALLERGY AND IMMUNOLOGY	ALLERGY
IRANIAN JOURNAL OF ALLERGY ASTHMA AND IMMUNOLOGY	ALLERGY
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY	ALLERGY
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY-IN PRACTICE	ALLERGY
JOURNAL OF ASTHMA	ALLERGY
JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY	ALLERGY
PEDIATRIC ALLERGY AND IMMUNOLOGY	ALLERGY
PEDIATRIC ALLERGY IMMUNOLOGY AND PULMONOLOGY	ALLERGY
POSTEPY DERMATOLOGII I ALERGOLOGII	ALLERGY
REVUE FRANCAISE D ALLERGOLOGIE	ALLERGY
WORLD ALLERGY ORGANIZATION JOURNAL	ALLERGY
ACTA ZOOLOGICA	ANATOMY & MORPHOLOGY
ADVANCES IN ANATOMY EMBRYOLOGY AND CELL BIOLOGY	ANATOMY & MORPHOLOGY
ANATOMIA HISTOLOGIA EMBRYOLOGIA	ANATOMY & MORPHOLOGY
ANATOMICAL RECORD-ADVANCES IN INTEGRATIVE ANATOMY AND EVOLUTIONARY BIOLOGY	ANATOMY & MORPHOLOGY
ANATOMICAL SCIENCE INTERNATIONAL	ANATOMY & MORPHOLOGY
ANNALS OF ANATOMY-ANATOMISCHER ANZEIGER	ANATOMY & MORPHOLOGY
APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY	ANATOMY & MORPHOLOGY
BRAIN STRUCTURE & FUNCTION	ANATOMY & MORPHOLOGY
CELLS TISSUES ORGANS	ANATOMY & MORPHOLOGY
CLINICAL ANATOMY	ANATOMY & MORPHOLOGY
DEVELOPMENTAL DYNAMICS	ANATOMY & MORPHOLOGY
FOLIA MORPHOLOGICA	ANATOMY & MORPHOLOGY
FRONTIERS IN NEUROANATOMY	ANATOMY & MORPHOLOGY
INTERNATIONAL JOURNAL OF MORPHOLOGY	ANATOMY & MORPHOLOGY
JOURNAL OF ANATOMY	ANATOMY & MORPHOLOGY
JOURNAL OF MORPHOLOGY	ANATOMY & MORPHOLOGY
JOURNAL OF THE ANATOMICAL SOCIETY OF INDIA	ANATOMY & MORPHOLOGY
MICROSCOPY RESEARCH AND TECHNIQUE	ANATOMY & MORPHOLOGY
SURGICAL AND RADIOLOGIC ANATOMY	ANATOMY & MORPHOLOGY
TISSUE & CELL	ANATOMY & MORPHOLOGY
ZOOMORPHOLOGY	ANATOMY & MORPHOLOGY
ANDROLOGIA	ANDROLOGY
ANDROLOGY	ANDROLOGY
ASIAN JOURNAL OF ANDROLOGY	ANDROLOGY
REVISTA INTERNACIONAL DE ANDROLOGIA	ANDROLOGY
SYSTEMS BIOLOGY IN REPRODUCTIVE MEDICINE	ANDROLOGY
WORLD JOURNAL OF MENS HEALTH	ANDROLOGY
ACTA ANAESTHESIOLOGICA SCANDINAVICA	ANESTHESIOLOGY
ANAESTHESIA	ANESTHESIOLOGY
ANAESTHESIA AND INTENSIVE CARE	ANESTHESIOLOGY
ANAESTHESIA CRITICAL CARE & PAIN MEDICINE	ANESTHESIOLOGY
ANAESTHESIST	ANESTHESIOLOGY
ANASTHESIOLOGIE & INTENSIVMEDIZIN	ANESTHESIOLOGY
ANASTHESIOLOGIE INTENSIVMEDIZIN NOTFALLMEDIZIN SCHMERZTHERAPIE	ANESTHESIOLOGY
ANESTHESIA AND ANALGESIA	ANESTHESIOLOGY
ANESTHESIOLOGY	ANESTHESIOLOGY
BMC ANESTHESIOLOGY	ANESTHESIOLOGY
BRITISH JOURNAL OF ANAESTHESIA	ANESTHESIOLOGY
CANADIAN JOURNAL OF ANESTHESIA-JOURNAL CANADIEN D ANESTHESIE	ANESTHESIOLOGY
CLINICAL JOURNAL OF PAIN	ANESTHESIOLOGY
CURRENT OPINION IN ANESTHESIOLOGY	ANESTHESIOLOGY
EUROPEAN JOURNAL OF ANAESTHESIOLOGY	ANESTHESIOLOGY
EUROPEAN JOURNAL OF PAIN	ANESTHESIOLOGY
INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA	ANESTHESIOLOGY
JOURNAL OF ANESTHESIA	ANESTHESIOLOGY
JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA	ANESTHESIOLOGY
JOURNAL OF CLINICAL ANESTHESIA	ANESTHESIOLOGY
JOURNAL OF CLINICAL MONITORING AND COMPUTING	ANESTHESIOLOGY
JOURNAL OF NEUROSURGICAL ANESTHESIOLOGY	ANESTHESIOLOGY
MINERVA ANESTESIOLOGICA	ANESTHESIOLOGY
PAIN	ANESTHESIOLOGY
PAIN MEDICINE	ANESTHESIOLOGY
PAIN PHYSICIAN	ANESTHESIOLOGY
PAIN PRACTICE	ANESTHESIOLOGY
PEDIATRIC ANESTHESIA	ANESTHESIOLOGY
REGIONAL ANESTHESIA AND PAIN MEDICINE	ANESTHESIOLOGY
REVISTA BRASILEIRA DE ANESTESIOLOGIA	ANESTHESIOLOGY
SCHMERZ	ANESTHESIOLOGY
ACTA ASTRONOMICA	ASTRONOMY & ASTROPHYSICS
ADVANCES IN ASTRONOMY	ASTRONOMY & ASTROPHYSICS
ADVANCES IN SPACE RESEARCH	ASTRONOMY & ASTROPHYSICS
ANNALES GEOPHYSICAE	ASTRONOMY & ASTROPHYSICS
ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS	ASTRONOMY & ASTROPHYSICS
